X,Site,Plot,Transect,Section_short,Coral_num,Sps,Max_width,Coral_ID,coords_x,coords_y,X10.30.18,X11.9.18,X11.29.18,X12.13.18,X1.4.19,X1.18.19,X2.8.19,X3.4.19,X3.21.19,X4.11.19,X5.2.19,X5.16.19,X5.28.19,X6.13.19,X7.1.19,X7.22.19,X8.16.19,X9.17.19,X10.14.19,X11.12.19,X12.6.19,Total_loss,Average_pr,Avg_prweek
5,1,23,1,0-5,5,DSTO,18,1_p23_t1_s0_c5_DSTO,0.462908,2.225033921,0,0,0,0,5,5,10,15,20,15,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,14.28571429,5.004933792
14,1,23,1,10-May,8,DSTO,11,1_p23_t1_s5_c8_DSTO,0.596439,7.857500579,0,0,0,0,40,25,15,18,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,20,7.260160428
30,1,23,2,0-5,11,DSTO,33,1_p23_t2_s0_c11_DSTO,1.753709199,3.270724631,0,0,0,0,0,0,0,10,30,50,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,25,8.817401961
40,1,23,2,10-May,6,DSTO,12,1_p23_t2_s5_c6_DSTO,1.071216617,9.234730235,0,0,0,0,0,0,0,0,0,0,8,42,35,15,NA,NA,NA,NA,NA,NA,NA,100,25,12.66145833
80,1,23,3,10-May,6,DSTO,7,1_p23_t3_s5_c6_DSTO,2.362017804,7.176331726,0,0,0,0,0,0,0,20,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,50,19.3872549
91,1,23,4,0-5,1,DSTO,17,1_p23_t4_s0_c1_DSTO,3.133531157,0.097415419,0,0,0,0,10,5,5,40,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,20,7.09714795
92,1,23,4,0-5,2,PSTR,32,1_p23_t4_s0_c2_PSTR,3.326409496,0.1167198,0,0,0,0,0,0,10,45,15,10,15,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,16.66666667,5.578022876
130,1,23,5,0-5,5,DSTO,13,1_p23_t5_s0_c5_DSTO,4.424332344,1.960949996,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,5,5,15,50,NA,NA,100,16.66666667,4.960378086
170,1,23,6,10-May,21,DSTO,8,1_p23_t6_s5_c21_DSTO,5.403560831,5.403251961,0,0,0,0,0,0,0,0,0,0,0,0,20,20,60,NA,NA,NA,NA,NA,NA,100,33.33333333,14.58333333
192,1,23,7,0-5,11,SSID,55,1_p23_t7_s0_c11_SSID,6.323442136,3.882508025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,25,15,4.375
210,1,23,8,0-5,3,DSTO,10,1_p23_t8_s0_c3_DSTO,7.703264095,0.634849371,0,0,0,0,0,0,0,0,0,0,0,30,55,15,NA,NA,NA,NA,NA,NA,NA,100,33.33333333,17.88194444
236,1,23,9,0-5,4,DSTO,10,1_p23_t9_s0_c4_DSTO,8.118694362,3.461672532,0,0,0,0,0,0,0,0,0,25,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,50,16.66666667
264,1,23,10,10-May,3,DSTO,15,1_p23_t10_s5_c3_DSTO,9.097922849,5.491335091,0,0,0,0,5,45,35,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,25,10.03314394
286,1,25,1,0-5,11,DSTO,6,1_p25_t1_s0_c11_DSTO,0.0218579,3.563670266,0,0,0,0,0,0,0,70,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,50,16.38480392
287,1,25,1,0-5,12,DSTO,9,1_p25_t1_s0_c12_DSTO,0.213115,3.703674928,0,0,0,0,0,0,0,20,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,50,19.3872549
310,1,25,2,0-5,1,SSID,18,1_p25_t2_s0_c1_SSID,1.94307317,0.462140361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,2.916666667
322,1,25,2,0-5,13,DLAB,18,1_p25_t2_s0_c13_DLAB,1.341033475,2.269512276,0,0,0,0,0,0,0,90,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,50,15.18382353
331,1,25,2,0-5,22,DSTO,31,1_p25_t2_s0_c22_DSTO,1.325647845,5.126843528,0,0,10,15,60,0,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,16.66666667,5.779040404
