Site,percent.cover,timept,plotnum
Midchannel,4.166666667,t1,p23
Midchannel,8.695652174,t1,p23
Midchannel,4.166666667,t1,p23
Midchannel,0,t1,p23
Midchannel,0,t1,p23
Midchannel,16.66666667,t1,p23
Midchannel,0,t1,p23
Midchannel,0,t1,p23
Midchannel,13.63636364,t1,p23
Midchannel,20,t1,p23
Midchannel,0,t1,p23
Midchannel,0,t1,p23
Midchannel,8.333333333,t1,p23
Midchannel,12.5,t1,p23
Midchannel,4,t1,p23
Midchannel,16.66666667,t1,p23
Midchannel,9.523809524,t1,p23
Midchannel,0,t1,p23
Midchannel,0,t1,p23
Midchannel,0,t1,p23
Midchannel,20,t1,p23
Midchannel,4,t1,p23
Midchannel,0,t1,p23
Midchannel,0,t1,p23
Midchannel,8.695652174,t1,p23
Midchannel,0,t1,p23
Midchannel,0,t1,p23
Midchannel,16.66666667,t1,p23
Midchannel,4.545454545,t1,p23
Midchannel,8,t1,p23
Midchannel,0,t1,p23
Midchannel,0,t1,p23
Midchannel,4,t1,p23
Midchannel,4.166666667,t1,p23
Midchannel,0,t1,p23
Midchannel,0,t1,p23
Midchannel,12,t1,p23
Midchannel,0,t1,p23
Midchannel,8.333333333,t1,p23
Midchannel,0,t1,p23
Midchannel,4,t1,p23
Midchannel,0,t1,p23
Midchannel,0,t1,p23
Midchannel,8,t1,p23
Midchannel,12.5,t1,p23
Midchannel,4,t1,p23
Midchannel,4,t1,p23
Midchannel,0,t1,p23
Midchannel,8.333333333,t1,p23
Midchannel,0,t1,p23
Midchannel,0,t2,p23
Midchannel,0,t2,p23
Midchannel,0,t2,p23
Midchannel,0,t2,p23
Midchannel,4,t2,p23
Midchannel,0,t2,p23
Midchannel,0,t2,p23
Midchannel,0,t2,p23
Midchannel,0,t2,p23
Midchannel,0,t2,p23
Midchannel,4,t2,p23
Midchannel,0,t2,p23
Midchannel,0,t2,p23
Midchannel,4.166666667,t2,p23
Midchannel,0,t2,p23
Midchannel,8.333333333,t2,p23
Midchannel,26.08695652,t2,p23
Midchannel,4,t2,p23
Midchannel,20,t2,p23
Midchannel,12,t2,p23
Midchannel,0,t2,p23
Midchannel,4.166666667,t2,p23
Midchannel,4,t2,p23
Midchannel,16,t2,p23
Midchannel,0,t2,p23
Midchannel,0,t2,p23
Midchannel,52,t2,p23
Midchannel,20,t2,p23
Midchannel,0,t2,p23
Midchannel,0,t2,p23
Midchannel,4,t2,p23
Midchannel,0,t2,p23
Midchannel,12.5,t2,p23
Midchannel,4,t2,p23
Midchannel,0,t2,p23
Midchannel,0,t2,p23
Midchannel,0,t2,p23
Midchannel,8.333333333,t2,p23
Midchannel,0,t2,p23
Midchannel,0,t2,p23
Midchannel,0,t2,p23
Midchannel,0,t2,p23
Midchannel,4,t2,p23
Midchannel,33.33333333,t2,p23
Midchannel,0,t2,p23
Midchannel,0,t2,p23
Midchannel,4,t2,p23
Midchannel,8.333333333,t2,p23
Midchannel,4,t2,p23
Midchannel,4,t2,p23
Midchannel,0,t1,p24
Midchannel,12.5,t1,p24
Midchannel,4,t1,p24
Midchannel,0,t1,p24
Midchannel,0,t1,p24
Midchannel,8.333333333,t1,p24
Midchannel,0,t1,p24
Midchannel,0,t1,p24
Midchannel,0,t1,p24
Midchannel,4.761904762,t1,p24
Midchannel,0,t1,p24
Midchannel,0,t1,p24
Midchannel,0,t1,p24
Midchannel,16,t1,p24
Midchannel,8.333333333,t1,p24
Midchannel,0,t1,p24
Midchannel,0,t1,p24
Midchannel,0,t1,p24
Midchannel,0,t1,p24
Midchannel,0,t1,p24
Midchannel,0,t1,p24
Midchannel,4,t1,p24
Midchannel,4,t1,p24
Midchannel,4,t1,p24
Midchannel,12.5,t1,p24
Midchannel,0,t1,p24
Midchannel,0,t1,p24
Midchannel,0,t1,p24
Midchannel,29.16666667,t1,p24
Midchannel,0,t1,p24
Midchannel,4,t1,p24
Midchannel,8,t1,p24
Midchannel,23.80952381,t1,p24
Midchannel,0,t1,p24
Midchannel,4,t1,p24
Midchannel,4.545454545,t1,p24
Midchannel,8.333333333,t1,p24
Midchannel,0,t1,p24
Midchannel,0,t1,p24
Midchannel,16.66666667,t1,p24
Midchannel,4.166666667,t1,p24
Midchannel,0,t1,p24
Midchannel,0,t1,p24
Midchannel,8,t1,p24
Midchannel,0,t1,p24
Midchannel,4.166666667,t1,p24
Midchannel,4.166666667,t1,p24
Midchannel,20,t1,p24
Midchannel,4,t1,p24
Midchannel,0,t1,p24
Midchannel,4.166666667,t2,p24
Midchannel,0,t2,p24
Midchannel,0,t2,p24
Midchannel,4,t2,p24
Midchannel,4.347826087,t2,p24
Midchannel,8,t2,p24
Midchannel,8.695652174,t2,p24
Midchannel,0,t2,p24
Midchannel,4,t2,p24
Midchannel,20.83333333,t2,p24
Midchannel,4,t2,p24
Midchannel,0,t2,p24
Midchannel,4.166666667,t2,p24
Midchannel,4,t2,p24
Midchannel,0,t2,p24
Midchannel,0,t2,p24
Midchannel,0,t2,p24
Midchannel,13.04347826,t2,p24
Midchannel,0,t2,p24
Midchannel,0,t2,p24
Midchannel,4,t2,p24
Midchannel,12,t2,p24
Midchannel,0,t2,p24
Midchannel,4,t2,p24
Midchannel,4,t2,p24
Midchannel,4,t2,p24
Midchannel,4,t2,p24
Midchannel,0,t2,p24
Midchannel,0,t2,p24
Midchannel,0,t2,p24
Midchannel,4,t2,p24
Midchannel,0,t2,p24
Midchannel,4,t2,p24
Midchannel,4,t2,p24
Midchannel,0,t2,p24
Midchannel,0,t2,p24
Midchannel,4,t2,p24
Midchannel,8,t2,p24
Midchannel,4,t2,p24
Midchannel,4,t2,p24
Midchannel,0,t2,p24
Midchannel,8.333333333,t2,p24
Midchannel,0,t2,p24
Midchannel,0,t2,p24
Midchannel,0,t2,p24
Midchannel,29.16666667,t2,p24
Midchannel,0,t2,p24
Midchannel,8.695652174,t2,p24
Midchannel,0,t2,p24
Midchannel,0,t2,p24
Midchannel,8.3,t1,p25
Midchannel,0,t1,p25
Midchannel,0,t1,p25
Midchannel,8.0,t1,p25
Midchannel,0,t1,p25
Midchannel,0,t1,p25
Midchannel,.0,t1,p25
Midchannel,13.6,t1,p25
Midchannel,0,t1,p25
Midchannel,8.3,t1,p25
Midchannel,0,t1,p25
Midchannel,0,t1,p25
Midchannel,16.7,t1,p25
Midchannel,0,t1,p25
Midchannel,0,t1,p25
Midchannel,4.3,t1,p25
Midchannel,0,t1,p25
Midchannel,9.5,t1,p25
Midchannel,0,t1,p25
Midchannel,0,t1,p25
Midchannel,0,t1,p25
Midchannel,16.0,t1,p25
Midchannel,0,t1,p25
Midchannel,16.0,t1,p25
Midchannel,8.0,t1,p25
Midchannel,4.0,t1,p25
Midchannel,.0,t1,p25
Midchannel,8.0,t1,p25
Midchannel,13.0,t1,p25
Midchannel,0,t1,p25
Midchannel,0,t1,p25
Midchannel,20.8,t1,p25
Midchannel,0,t1,p25
Midchannel,4.0,t1,p25
Midchannel,0,t1,p25
Midchannel,4.3,t1,p25
Midchannel,4.0,t1,p25
Midchannel,36.0,t1,p25
Midchannel,4.2,t1,p25
Midchannel,0,t1,p25
Midchannel,0,t1,p25
Midchannel,8.0,t1,p25
Midchannel,12.0,t1,p25
Midchannel,4.0,t1,p25
Midchannel,37.5,t1,p25
Midchannel,0,t1,p25
Midchannel,4.0,t1,p25
Midchannel,0,t1,p25
Midchannel,4.0,t1,p25
Midchannel,0,t1,p25
Midchannel,0,t2,p25
Midchannel,0,t2,p25
Midchannel,0,t2,p25
Midchannel,4.166666667,t2,p25
Midchannel,0,t2,p25
Midchannel,0,t2,p25
Midchannel,0,t2,p25
Midchannel,8,t2,p25
Midchannel,20,t2,p25
Midchannel,0,t2,p25
Midchannel,0,t2,p25
Midchannel,0,t2,p25
Midchannel,8,t2,p25
Midchannel,0,t2,p25
Midchannel,4.166666667,t2,p25
Midchannel,12,t2,p25
Midchannel,8,t2,p25
Midchannel,0,t2,p25
Midchannel,4,t2,p25
Midchannel,4,t2,p25
Midchannel,4.166666667,t2,p25
Midchannel,4.347826087,t2,p25
Midchannel,4,t2,p25
Midchannel,0,t2,p25
Midchannel,8,t2,p25
Midchannel,0,t2,p25
Midchannel,0,t2,p25
Midchannel,13.04347826,t2,p25
Midchannel,13.04347826,t2,p25
Midchannel,0,t2,p25
Midchannel,0,t2,p25
Midchannel,0,t2,p25
Midchannel,0,t2,p25
Midchannel,0,t2,p25
Midchannel,0,t2,p25
Midchannel,4.166666667,t2,p25
Midchannel,12,t2,p25
Midchannel,24,t2,p25
Midchannel,8,t2,p25
Midchannel,4.166666667,t2,p25
Midchannel,0,t2,p25
Midchannel,34.7826087,t2,p25
Midchannel,60,t2,p25
Midchannel,4,t2,p25
Midchannel,0,t2,p25
Midchannel,0,t2,p25
Midchannel,8.695652174,t2,p25
Midchannel,33.33333333,t2,p25
Midchannel,37.5,t2,p25
Midchannel,8,t2,p25
Offshore,4.0,t1,p27
Offshore,4.8,t1,p27
Offshore,0,t1,p27
Offshore,0,t1,p27
Offshore,0,t1,p27
Offshore,0,t1,p27
Offshore,8.7,t1,p27
Offshore,0,t1,p27
Offshore,0,t1,p27
Offshore,0,t1,p27
Offshore,12.0,t1,p27
Offshore,0,t1,p27
Offshore,0,t1,p27
Offshore,0,t1,p27
Offshore,4.2,t1,p27
Offshore,8.0,t1,p27
Offshore,0,t1,p27
Offshore,0,t1,p27
Offshore,0,t1,p27
Offshore,0,t1,p27
Offshore,0,t1,p27
Offshore,4.2,t1,p27
Offshore,0,t1,p27
Offshore,0,t1,p27
Offshore,0,t1,p27
Offshore,0,t1,p27
Offshore,0,t1,p27
Offshore,0,t1,p27
Offshore,0,t1,p27
Offshore,0,t1,p27
Offshore,0,t1,p27
Offshore,0,t1,p27
Offshore,0,t1,p27
Offshore,20.8,t1,p27
Offshore,0,t1,p27
Offshore,0,t1,p27
Offshore,0,t1,p27
Offshore,0,t1,p27
Offshore,0,t1,p27
Offshore,4.0,t1,p27
Offshore,0,t1,p27
Offshore,0,t1,p27
Offshore,4.3,t1,p27
Offshore,4.2,t1,p27
Offshore,0,t1,p27
Offshore,0,t1,p27
Offshore,0,t1,p27
Offshore,0,t1,p27
Offshore,0,t1,p27
Offshore,0,t1,p27
Offshore,0,t2,p27
Offshore,0,t2,p27
Offshore,0,t2,p27
Offshore,0,t2,p27
Offshore,4.347826087,t2,p27
Offshore,0,t2,p27
Offshore,4,t2,p27
Offshore,0,t2,p27
Offshore,0,t2,p27
Offshore,0,t2,p27
Offshore,0,t2,p27
Offshore,0,t2,p27
Offshore,0,t2,p27
Offshore,0,t2,p27
Offshore,0,t2,p27
Offshore,0,t2,p27
Offshore,0,t2,p27
Offshore,0,t2,p27
Offshore,4,t2,p27
Offshore,4.347826087,t2,p27
Offshore,0,t2,p27
Offshore,0,t2,p27
Offshore,0,t2,p27
Offshore,0,t2,p27
Offshore,0,t2,p27
Offshore,8.333333333,t2,p27
Offshore,0,t2,p27
Offshore,4.347826087,t2,p27
Offshore,4.166666667,t2,p27
Offshore,16.66666667,t2,p27
Offshore,0,t2,p27
Offshore,24,t2,p27
Offshore,0,t2,p27
Offshore,0,t2,p27
Offshore,4,t2,p27
Offshore,0,t2,p27
Offshore,0,t2,p27
Offshore,0,t2,p27
Offshore,4,t2,p27
Offshore,0,t2,p27
Offshore,0,t2,p27
Offshore,8,t2,p27
Offshore,4,t2,p27
Offshore,0,t2,p27
Offshore,0,t2,p27
Offshore,4,t2,p27
Offshore,0,t2,p27
Offshore,0,t2,p27
Offshore,0,t2,p27
Offshore,0,t2,p27
Offshore,0,t1,p28
Offshore,12.5,t1,p28
Offshore,12,t1,p28
Offshore,12,t1,p28
Offshore,8,t1,p28
Offshore,0,t1,p28
Offshore,0,t1,p28
Offshore,16,t1,p28
Offshore,0,t1,p28
Offshore,0,t1,p28
Offshore,4,t1,p28
Offshore,0,t1,p28
Offshore,4,t1,p28
Offshore,8,t1,p28
Offshore,0,t1,p28
Offshore,0,t1,p28
Offshore,8,t1,p28
Offshore,4.166666667,t1,p28
Offshore,4.166666667,t1,p28
Offshore,0,t1,p28
Offshore,4.166666667,t1,p28
Offshore,0,t1,p28
Offshore,0,t1,p28
Offshore,0,t1,p28
Offshore,0,t1,p28
Offshore,4.166666667,t1,p28
Offshore,0,t1,p28
Offshore,0,t1,p28
Offshore,0,t1,p28
Offshore,0,t1,p28
Offshore,4.347826087,t1,p28
Offshore,0,t1,p28
Offshore,0,t1,p28
Offshore,0,t1,p28
Offshore,18.18181818,t1,p28
Offshore,0,t1,p28
Offshore,0,t1,p28
Offshore,4.166666667,t1,p28
Offshore,0,t1,p28
Offshore,8.333333333,t1,p28
Offshore,0,t1,p28
Offshore,0,t1,p28
Offshore,0,t1,p28
Offshore,0,t1,p28
Offshore,0,t1,p28
Offshore,0,t1,p28
Offshore,0,t1,p28
Offshore,0,t1,p28
Offshore,0,t1,p28
Offshore,0,t1,p28
Offshore,0,t2,p28
Offshore,4,t2,p28
Offshore,4.166666667,t2,p28
Offshore,4,t2,p28
Offshore,12,t2,p28
Offshore,0,t2,p28
Offshore,8.333333333,t2,p28
Offshore,8,t2,p28
Offshore,8,t2,p28
Offshore,0,t2,p28
Offshore,0,t2,p28
Offshore,4.166666667,t2,p28
Offshore,0,t2,p28
Offshore,4,t2,p28
Offshore,4.166666667,t2,p28
Offshore,0,t2,p28
Offshore,0,t2,p28
Offshore,0,t2,p28
Offshore,0,t2,p28
Offshore,0,t2,p28
Offshore,8.695652174,t2,p28
Offshore,0,t2,p28
Offshore,8,t2,p28
Offshore,0,t2,p28
Offshore,0,t2,p28
Offshore,0,t2,p28
Offshore,0,t2,p28
Offshore,0,t2,p28
Offshore,12,t2,p28
Offshore,0,t2,p28
Offshore,8,t2,p28
Offshore,4.166666667,t2,p28
Offshore,0,t2,p28
Offshore,8,t2,p28
Offshore,4,t2,p28
Offshore,0,t2,p28
Offshore,0,t2,p28
Offshore,0,t2,p28
Offshore,8,t2,p28
Offshore,8,t2,p28
Offshore,8,t2,p28
Offshore,0,t2,p28
Offshore,0,t2,p28
Offshore,0,t2,p28
Offshore,0,t2,p28
Offshore,0,t2,p28
Offshore,8,t2,p28
Offshore,0,t2,p28
Offshore,0,t2,p28
Offshore,0,t2,p28
Offshore,9.090909091,t1,p29
Offshore,16.66666667,t1,p29
Offshore,0,t1,p29
Offshore,37.5,t1,p29
Offshore,0,t1,p29
Offshore,4.166666667,t1,p29
Offshore,0,t1,p29
Offshore,0,t1,p29
Offshore,4,t1,p29
Offshore,4.166666667,t1,p29
Offshore,0,t1,p29
Offshore,20,t1,p29
Offshore,0,t1,p29
Offshore,0,t1,p29
Offshore,0,t1,p29
Offshore,0,t1,p29
Offshore,8,t1,p29
Offshore,20,t1,p29
Offshore,8,t1,p29
Offshore,0,t1,p29
Offshore,0,t1,p29
Offshore,36,t1,p29
