X,sst,bleachalert,dhw,t.anom,tl.means,tl.se,all.incidence$newInc
X05.01.18,26.59,na,0,0.8087,0,0,0
X06.01.18,27.47,na,0,-0.1952,0,0,0
X06.21.18,30.21,na,1,1.454,0,0,0
X07.16.18,31.08,na,2,1.5823,0,0,0
X08.17.18,30.37,na,3,0.6997,0,0,0
X10.30.18,28.04,0,0.3014,0.8239,0.511363636,0,1
X11.9.18,27.78,0,0,0.9965,0.073863636,0,1
X11.29.18,27.26,0,0,1.5247,0.137142857,0.357142857,2
X12.13.18,25.92,0,0,0.8193,0.222857143,0.535714286,2
X1.4.19,25.97,0,0,1.5432,1.72,2.5291199,8
X1.18.19,24.44,0,0,0.2242,3.942528736,2.998330349,7
X2.8.19,25.28,0,0,1.4506,2.715116279,1.518343371,4
X3.4.19,26.78,0,0,3.6582,6.086982249,4.263938284,19
X3.21.19,25.89,0,0,1.6158,6.555,4.64482559,14
X4.11.19,26.5,0,0,1.9174,13.53311258,4.883265544,32
X5.2.19,26.95,0,0,1.3033,19.79928058,5.649142866,19
X5.16.19,29.09,0,0,2.4458,17.75350877,3.81243125,27
X5.28.19,27.69,0,0,0.5087,15.76530612,3.702208693,8
X6.13.19,30.94,2,0.4557,2.4977,9.253012048,1.592392629,7
X7.1.19,30.42,2,1.91,1.5467,7.847222222,4.522242836,3
X7.22.19,30.28,1,2.8086,0.8023,1.925373134,0.487950036,1
X8.16.19,31.31,3,6.93,1.6552,1.044776119,0.790569415,1
X9.17.19,30.01,1,8.1886,1.0007,1.179104478,1.255938276,1
X10.14.19,29,0,6.4029,1.1467,3.292307692,4.169618002,3
X11.12.19,28.12,0,1.5214,1.6048,4.578125,2.078804602,12
X12.6.19,26.28,0,0,0.765,8.129032258,3.128212634,9
