dates,p45.auc,p47.auc,bottom_upR45,upR45,top_upR45,bottom_lowR45,lowR45,top_lowR45,bottom_R47,R47,top_R47,p47.incidence,p45.incidence
3/4/19,12.79715782,5.136050896,3.69140625,4.31640625,6.7578125,0.80078125,1.0625,2.28515625,0.80078125,1.527734375,2.9296875,9,4
3/21/19,16.58548352,1.249140074,2.48046875,4.3484375,10,2.48046875,3.7296875,10,1.30859375,1.734375,2.75390625,7,3
4/11/19,0.012763126,1.128772187,7.34375,7.42265625,7.51953125,NA,NA,NA,2.44140625,3.8015625,6.1328125,18,11
5/2/19,10.76357877,9.548117618,0.72265625,5.3203125,9.4921875,NA,NA,NA,1.015625,4.53984375,10,9,7
5/16/19,4.040146813,7.340345219,NA,NA,NA,0.25390625,1.2609375,2.65625,0.33203125,3.28359375,10,15,10
5/28/19,3.076653019,11.07848572,3.671875,4.39765625,4.51171875,0.25390625,0.6078125,1.11328125,0.60546875,3.65390625,9.375,3,2
6/13/19,8.100330248,11.4838203,5.078125,6.65859375,10,1.23046875,1.5859375,3.33984375,0.33203125,3.17265625,8.90625,0,6
7/1/19,7.052077279,9.767746072,5.15625,5.9125,10,1.23046875,1.703125,2.48046875,0.33203125,3.008984375,9.04296875,2,0
7/22/19,7.052077279,9.767746072,5.15625,5.9125,10,1.23046875,1.703125,2.48046875,0.33203125,3.008984375,9.04296875,0,0
8/16/19,3.35213051,9.853147117,6.19140625,6.85546875,10,1.640625,1.89453125,2.28515625,0.33203125,2.630859375,8.37890625,1,0
9/17/19,5.402297525,11.53456688,5.33203125,6.59296875,10,1.30859375,1.89453125,2.48046875,0.33203125,2.571484375,8.4765625,0,1
10/14/19,4.023009199,15.1845803,5.2734375,6.62578125,10,NA,NA,NA,0.05859375,2.592578125,9.4921875,1,1
11/12/19,3.984338119,5.986448604,5.3125,5.8828125,10,2.71484375,3.0078125,4.0234375,0.21484375,2.575390625,8.5546875,5,6
12/6/19,0.723665974,0.467984852,7.16796875,7.74140625,9.08203125,0.72265625,1.7875,3.0859375,0.95703125,0.9734375,1.54296875,5,2
